site_number,site_url,data_type
11,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517011&NM=55,Depth
12,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517012&NM=55,pH
13,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517013&NM=55,Turbidity
15,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517015&NM=55,Specific_Conductivity
16,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517016&NM=55,FDOM
17,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517017&NM=55,DO
18,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517018&NM=55,DO_Sat
19,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517019&NM=55,Chl-a
20,https://wetmapgc.wetec.us/cgi-bin/datadisp_q?ID=11517020&NM=55,Temperature

